counter,loop_timer,x_target,teensy_time,acceleration,position,pressure
0,1706193056.4511228,1,1,10.80665,0,0.021978021978021976
38975,1706193056.466202,0.9933333333333333,44681,0.1366499999999995,0,0.0
38975,1706193056.4832032,0.9866666666666666,44691,0.10665000000000013,0,0.0
59527,1706193056.4999692,0.9799999999999999,44705,0.11664999999999992,0,0.0
101043,1706193056.516682,0.9733333333333332,44720,0.09664999999999857,0,0.0
115317,1706193056.5332618,0.9666666666666665,44739,0.1366499999999995,0,0.0
136903,1706193056.5498836,0.9599999999999997,44753,0.28664999999999985,0,0.0
188932,1706193056.5666068,0.953333333333333,44768,-1.1833500000000008,0,0.019536019536019536
244207,1706193056.5832267,0.9466666666666663,44784,-1.4833499999999997,0,0.15873015873015872
289142,1706193056.599861,0.9399999999999996,44799,0.06664999999999921,0,0.36141636141636146
342690,1706193056.6165347,0.9333333333333329,44814,0.4566499999999998,0,0.608058608058608
365608,1706193056.6332412,0.9266666666666662,44829,-0.46335000000000015,0,0.8791208791208792
375191,1706193056.648251,0.9199999999999995,44844,1.3466499999999986,0,1.1697191697191698
381408,1706193056.6638417,0.9133333333333328,44859,0.576649999999999,0,1.47985347985348
398129,1706193056.6793323,0.9066666666666661,44874,-0.07335000000000136,0,1.7655677655677657
413369,1706193056.6944585,0.8999999999999994,44889,0.6166499999999999,0,1.9706959706959706
498461,1706193056.719163,0.8933333333333326,44904,-0.08335000000000115,0.009999999999999995,2.2466422466422467
534715,1706193056.7342615,0.8866666666666659,44919,-0.15335000000000143,0.009999999999999995,2.525030525030525
564507,1706193056.7498863,0.8799999999999992,44933,0.6566499999999991,0,2.800976800976801
610856,1706193056.7665343,0.8733333333333325,44949,0.17664999999999864,0,3.120879120879121
652756,1706193056.7831538,0.8666666666666658,44964,-0.26335000000000086,0,3.396825396825397
708816,1706193056.7997906,0.8599999999999991,44979,-0.033350000000000435,0.009999999999999995,3.6605616605616604
740823,1706193056.8164995,0.8533333333333324,44994,-0.7433500000000013,0.009999999999999995,3.924297924297924
798368,1706193056.8331292,0.8466666666666657,45009,-0.5433500000000002,0.009999999999999995,4.170940170940171
828155,1706193056.8498495,0.839999999999999,45024,-0.4933500000000013,0.009999999999999995,4.407814407814408
870190,1706193056.866523,0.8333333333333323,45038,-1.22335,0.009999999999999995,4.620268620268621
916830,1706193056.883175,0.8266666666666656,45053,-1.2733500000000006,0.009999999999999995,4.832722832722832
971708,1706193056.8998332,0.8199999999999988,45068,0.14664999999999928,0.009999999999999995,5.032967032967033
1001226,1706193056.91656,0.8133333333333321,45084,0.8866499999999995,0.009999999999999995,5.191697191697192
1029061,1706193056.9332256,0.8066666666666654,45099,-0.07335000000000136,0.009999999999999995,5.3357753357753355
1083940,1706193056.949839,0.7999999999999987,45114,-0.7833500000000004,0.009999999999999995,5.457875457875457
1137267,1706193056.9665525,0.793333333333332,45129,-0.14334999999999987,0.009999999999999995,5.57020757020757
1185738,1706193056.9831758,0.7866666666666653,45144,1.246649999999999,0.009999999999999995,5.665445665445665
1237493,1706193056.9998813,0.7799999999999986,45159,0.2666500000000003,0.009999999999999995,5.746031746031745
1270472,1706193057.0165427,0.7733333333333319,45174,1.5166500000000003,0.020000000000000004,5.8339438339438345
1317282,1706193057.0386386,0.7666666666666652,45188,-0.6933500000000006,0.020000000000000004,5.902319902319903
1340480,1706193057.053774,0.7599999999999985,45203,0.94665,0.020000000000000004,5.975579975579976
1367563,1706193057.0692987,0.7533333333333317,45218,0.27665000000000006,0.020000000000000004,6.024420024420024
1414695,1706193057.0859783,0.746666666666665,45234,1.7166499999999996,0.030000000000000013,6.063492063492063
1457871,1706193057.102648,0.7399999999999983,45249,0.0066499999999987125,0.030000000000000013,6.112332112332113
1501598,1706193057.119318,0.7333333333333316,45264,-0.26335000000000086,0.030000000000000013,6.158730158730159
1525649,1706193057.1361485,0.7266666666666649,45279,0.1366499999999995,0.030000000000000013,6.180708180708181
1572497,1706193057.1519005,0.7199999999999982,45294,0.9766499999999994,0.039999999999999994,6.21978021978022
1620374,1706193057.1675277,0.7133333333333315,45309,0.6566499999999991,0.039999999999999994,6.258852258852259
1664588,1706193057.1831427,0.7066666666666648,45323,-1.5433500000000002,0.05,6.2905982905982905
1722716,1706193057.200281,0.6999999999999981,45339,0.5566499999999994,0.05,6.3003663003663
1754180,1706193057.216897,0.6933333333333314,45354,0.8366499999999988,0.05,6.336996336996337
1809448,1706193057.2334986,0.6866666666666646,45369,-4.603350000000001,0.06000000000000001,6.339438339438339
1854063,1706193057.250174,0.6799999999999979,45384,0.10665000000000013,0.06000000000000001,6.3418803418803416
1904729,1706193057.266994,0.6733333333333312,45399,-0.7633500000000009,0.06000000000000001,6.351648351648351
1950826,1706193057.2835488,0.6666666666666645,45414,-1.63335,0.06000000000000001,6.366300366300366
2000325,1706193057.3002636,0.6599999999999978,45429,-1.2833500000000004,0.06000000000000001,6.378510378510378
2049245,1706193057.3170455,0.6533333333333311,45444,-1.1633500000000012,0.06999999999999999,6.373626373626373
2101553,1706193057.3335245,0.6466666666666644,45459,0.7966499999999996,0.08,6.417582417582418
2155613,1706193057.3502216,0.6399999999999977,45474,0.09664999999999857,0.08,6.417582417582418
2207811,1706193057.3668272,0.633333333333331,45488,-0.34335000000000093,0.08,6.412698412698413
2256608,1706193057.383538,0.6266666666666643,45503,-1.4533500000000004,0.09000000000000001,6.415140415140415
2306197,1706193057.400165,0.6199999999999976,45518,1.44665,0.09999999999999999,6.454212454212454
