counter,loop_timer,x_target,teensy_time,acceleration,position,pressure
0,1706190649.4119806,2,4250,-0.1366499999999995,0.11,1
110526,1706190649.4437408,2,4265,-0.08664999999999878,0.11,0
248849,1706190649.4744883,2,4280,-0.10665000000000013,0.11,0
346461,1706190649.5048864,2,4295,-0.11664999999999992,0.11,0
418195,1706190649.5367458,2,4310,-0.1366499999999995,0.11,1
507438,1706190649.5683026,2,4325,-0.1266499999999997,0.11,0
567164,1706190649.5994887,2,4340,-0.11664999999999992,0.11,0
596550,1706190649.6306431,2,4355,-0.11664999999999992,0.11,0
644926,1706190649.660971,2,4370,-0.10665000000000013,0.11,1
728144,1706190649.6929555,2,4385,-0.1266499999999997,0.11,0
815633,1706190649.7262862,2,4400,-0.09664999999999857,0.11,1
920907,1706190649.7647395,2,4415,-0.11664999999999992,0.11,0
1008116,1706190649.7963731,2,4430,-0.10665000000000013,0.11,1
1117335,1706190649.8276238,2,4445,-0.1266499999999997,0.11,0
1209893,1706190649.8590946,2,4460,-0.10665000000000013,0.11,1
1395286,1706190649.8998344,2,4475,-0.10665000000000013,0.11,1
1521263,1706190649.9357636,2,4490,-0.1266499999999997,0.11,1
1642746,1706190649.9684942,2,4505,-0.11664999999999992,0.11,0
1767909,1706190650.00233,2,4520,-0.11664999999999992,0.11,0
1877024,1706190650.036239,2,4535,-0.10665000000000013,0.11,1
2007633,1706190650.0691803,2,4550,-0.11664999999999992,0.11,1
2133801,1706190650.101876,2,4565,-0.10665000000000013,0.11,0
